Luhansk,71485,56233,44157,41267,49342,58880,66287,71087,83940,57527,44124,34594,30348,35814,45901,53544,58056,68059,61201,36432,22942,27847,35486,39277,49395,51512,58548,25590,19788,15634,13793,16416,21252,24975,27274,32223;
Lviv,75762,79378,97740,116285,152256,189077,216876,235055,286669,58762,59887,74919,89517,113883,142941,169534,183089,222523,68075,77102,98334,118391,161920,200007,227561,238027,290164,23138,23595,29542,35325,44981,56592,67353,73092,89441;
Mykolayiv,35125,36373,44275,52390,67558,81581,92529,99040,119175,27948,27362,34075,40363,51964,63024,72820,77858,94142,32612,37524,45466,54197,64909,78615,90586,95588,114099,23869,23459,29342,34971,45356,55469,64700,69884,85575;
Odesa,78285,80438,101179,118472,153640,193923,225458,245164,296187,61265,58096,77509,93463,119505,150412,179095,194579,228543,86222,98609,118280,140752,178378,219938,244834,251448,317461,25572,24242,32385,39132,50111,63153,75288,82007,96851;
Poltava,46984,49928,60610,71926,92768,114656,129647,138898,167228,37118,38078,46203,54362,69116,86746,101521,108707,130430,39017,45428,56545,66889,88651,109575,127873,135218,160060,25371,26196,31997,37938,48663,61649,72843,78813,95770;
Rivne,31811,33314,40309,47356,61831,73661,82555,88077,105032,24507,25266,31021,36374,46846,55845,64590,68294,81104,28093,32735,40141,47146,57180,70651,79948,86486,98115,21165,21781,26708,31295,40325,48184,55917,59350,70826;
Sumy,33469,35375,44311,52551,67287,79848,89702,96629,116265,26812,27007,34189,40014,50410,60736,70864,76337,91310,27555,32620,39483,47901,60627,74282,84657,88126,104009,23559,23938,30572,36084,45852,55829,65932,71955,87410;
Ternopyl,26345,26892,33851,40277,52196,61731,68282,74502,90012,20424,19718,25670,29954,38224,45717,52674,57706,69230,23867,28275,34589,41463,49260,60957,68807,74083,85961,18994,18401,24040,28195,36204,43577,50536,55776,67467;
Kharkiv,91333,95897,116880,135675,175850,216227,245934,263215,321587,71530,71841,87736,103509,130484,151480,177482,200899,242661,97863,114267,139652,161225,203127,259421,287217,295419,351762,26098,26274,32198,38197,48370,56421,66547,75923,92746;
Kherson,29489,30077,38233,44268,57144,68064,76449,83199,99237,23362,22183,29695,34913,43834,52318,60036,65277,77232,27304,33119,41563,49162,62317,75566,82867,87658,102959,21724,20728,27880,32968,41695,50195,58129,63853,76532;
Khmelnytskiy,36770,38853,48653,57367,73520,86821,97560,105067,126311,29865,29585,38015,44362,55848,64287,74239,81711,97050,31131,36880,44720,54318,73019,89882,103125,106266,118796,22789,22686,29292,34395,43638,50640,58934,65411,78500;
Cherkasy,35024,36694,44708,53496,69399,82600,92887,99767,121741,27353,27329,33642,39992,51304,61398,71503,76863,93117,33864,38942,46780,55925,72818,88896,102766,109930,124024,21633,21761,26970,32327,41854,50600,59626,64852,79621;
Chernivtsi,22408,22941,28316,33657,43542,52108,58028,62695,74630,17646,16798,21773,25780,32861,38721,44375,48711,57301,20567,24640,30190,35738,49642,61722,66874,68816,79845,19438,18476,23929,28361,36215,42762,49142,54178,64130;
Chernihiv,30393,31998,38780,45716,58255,69247,76808,82929,98820,25306,24509,29871,34534,43636,51874,59882,64762,74321,26541,31237,38209,46324,58681,71864,79399,85454,101720,23600,23093,28440,33231,42501,51213,59972,65815,76777;
Kyiv city,218747,240198,288856,338083,447559,555666,675427,754263,925773,159534,180513,221683,269030,346360,422794,513929,541215,666328,211436,229011,276091,309001,417615,524500,638614,713311,933019,55842,62715,76514,92254,118208,143676,173677,182547,225321;
Sevastopil city,13336,0,0,0,0,0,0,0,0,10227,0,0,0,0,0,0,0,0,14020,0,0,0,0,0,0,0,0,26584,0,0,0,0,0,0,0,0
